Authors,Title,Journal,Year,Host subfamily,Host genus,Host species,Virus subfamily,Virus genus,Virus strain or sequence,Tissue tested?,nSamples,nPositive,Prevalence,Detection type,Study type,Detection method,Detection method specific,Gene/Antigen Target,Sample type,Isolation successful,Country,State or Region,Site,Latitude,Longitude,SamplingYear,SamplingMonth,StartYear,StartMonth,EndYear,EndMonth,Season,Notes
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,pteropodinae,pteropus,rufus,orthoparamyxovirinae,henipavirus,NA,urine,2,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,ambakoana,,,NA,NA,2015,NA,2016,NA,wet,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,pteropodinae,pteropus,rufus,orthoparamyxovirinae,henipavirus,NA,urine,2,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,ambakoana,,,NA,NA,2017,NA,2018,NA,wet,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,pteropodinae,pteropus,rufus,orthoparamyxovirinae,henipavirus,NA,urine,9,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,ambakoana,,,NA,NA,2018,NA,2019,NA,wet,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,eidolinae,eidolon,dupreanum,orthoparamyxovirinae,henipavirus,NA,urine,5,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,angavobe,,,NA,NA,2017,NA,2018,NA,wet,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,eidolinae,eidolon,dupreanum,orthoparamyxovirinae,henipavirus,NA,urine,3,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,angavobe,,,NA,NA,NA,NA,NA,NA,dry,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,eidolinae,eidolon,dupreanum,orthoparamyxovirinae,henipavirus,NA,urine,2,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,angavokely,,,NA,NA,2015,NA,2016,NA,wet,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,eidolinae,eidolon,dupreanum,orthoparamyxovirinae,henipavirus,angavokely virus,urine,38,4,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,angavokely,,,NA,NA,2017,NA,2018,NA,wet,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,eidolinae,eidolon,dupreanum,orthoparamyxovirinae,henipavirus,angavokely virus,urine,11,2,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,angavokely,,,2018,NA,NA,NA,NA,NA,dry,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,eidolinae,eidolon,dupreanum,orthoparamyxovirinae,henipavirus,angavokely virus,urine,47,4,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,angavokely,,,NA,NA,2018,NA,2019,NA,wet,angavokely virus sequenced from adult female in this sampling batch
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,pteropodinae,pteropus,rufus,orthoparamyxovirinae,henipavirus,NA,urine,8,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,mahabo,,,2014,NA,NA,NA,NA,NA,dry,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,pteropodinae,pteropus,rufus,orthoparamyxovirinae,henipavirus,NA,urine,2,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,makira,,,2015,NA,NA,NA,NA,NA,dry,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,pteropodinae,pteropus,rufus,orthoparamyxovirinae,henipavirus,NA,urine,5,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,mahialambo,,,NA,NA,2018,NA,2019,NA,wet,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,pteropodinae,pteropus,rufus,orthoparamyxovirinae,henipavirus,NA,urine,9,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,marovitsika,,,NA,NA,2017,NA,2018,NA,wet,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,pteropodinae,pteropus,rufus,orthoparamyxovirinae,henipavirus,NA,urine,7,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,marovitsika,,,2018,NA,NA,NA,NA,NA,dry,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,pteropodinae,pteropus,rufus,orthoparamyxovirinae,henipavirus,NA,urine,46,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,marovitsika,,,NA,NA,2018,NA,2019,NA,wet,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,rousettinae,rousettus,madagascariensis,orthoparamyxovirinae,henipavirus,NA,urine,2,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,maromizaha,,,2013,NA,NA,NA,NA,NA,wet,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,rousettinae,rousettus,madagascariensis,orthoparamyxovirinae,henipavirus,NA,urine,1,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,maromizaha,,,2014,NA,NA,NA,NA,NA,dry,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",journal of virology,2022,rousettinae,rousettus,madagascariensis,orthoparamyxovirinae,henipavirus,NA,urine,2,0,,single,cross-sectional,PCR,NGS,NA,swab,,madagascar,NA,maromizaha,,,NA,NA,2014,NA,2015,NA,wet,
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,cynopterinae,cynopterus,brachyotis,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,56,2,,single,cross-sectional,serology,virus neutralization test,NA,blood,NA,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,rousettinae,eonycteris,spelaea,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,38,2,,single,cross-sectional,serology,virus neutralization test,NA,blood,NA,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,35,11,,single,cross-sectional,serology,virus neutralization test,NA,blood,NA,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,29,5,,single,cross-sectional,serology,virus neutralization test,NA,blood,NA,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,cynopterinae,cynopterus,horsfieldii,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,24,0,,single,cross-sectional,serology,virus neutralization test,NA,blood,NA,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,cynopterinae,balionycteris,maculata,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,4,0,,single,cross-sectional,serology,virus neutralization test,NA,blood,NA,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,macroglossusinae,macroglossus,sobrinus,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,4,0,,single,cross-sectional,serology,virus neutralization test,NA,blood,NA,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,NA,megaerops,ecaudatus,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,1,0,,single,cross-sectional,serology,virus neutralization test,NA,blood,NA,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,cynopterinae,cynopterus,brachyotis,orthoparamyxovirinae,henipavirus,nipah virus,"kidney, spleen",NA,0,,single,cross-sectional,PCR,RT-PCR,N,tissue,0,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,sample size unspecified
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,rousettinae,eonycteris,spelaea,orthoparamyxovirinae,henipavirus,nipah virus,"kidney, spleen",NA,0,,single,cross-sectional,PCR,RT-PCR,N,tissue,0,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,sample size unspecified
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,"kidney, spleen",NA,0,,single,cross-sectional,PCR,RT-PCR,N,tissue,0,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,sample size unspecified
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,"kidney, spleen",NA,0,,single,cross-sectional,PCR,RT-PCR,N,tissue,0,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,sample size unspecified
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,cynopterinae,cynopterus,horsfieldii,orthoparamyxovirinae,henipavirus,nipah virus,"kidney, spleen",NA,0,,single,cross-sectional,PCR,RT-PCR,N,tissue,0,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,sample size unspecified
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,cynopterinae,balionycteris,maculata,orthoparamyxovirinae,henipavirus,nipah virus,"kidney, spleen",NA,0,,single,cross-sectional,PCR,RT-PCR,N,tissue,0,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,sample size unspecified
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,macroglossusinae,macroglossus,sobrinus,orthoparamyxovirinae,henipavirus,nipah virus,"kidney, spleen",NA,0,,single,cross-sectional,PCR,RT-PCR,N,tissue,0,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,sample size unspecified
"Yob, JM; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,emerging infectious diseases,2001,NA,megaerops,ecaudatus,orthoparamyxovirinae,henipavirus,nipah virus,"kidney, spleen",NA,0,,single,cross-sectional,PCR,RT-PCR,N,tissue,0,malaysia,"perak, selangor, negeri sembilan, johore",11 various sites,,,1999,NA,NA,april,NA,may,NA,sample size unspecified
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,celebensis,NA,NA,NA,liver,6,0,,single,cross-sectional,PCR,hemi-nested PCR,L,tissue,NA,indonesia,central sulawesi,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,celebensis,NA,NA,NA,rectum,3,0,,single,cross-sectional,PCR,hemi-nested PCR,L,swab,NA,indonesia,central sulawesi,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,celebensis,NA,NA,NA,liver,6,0,,single,cross-sectional,PCR,hemi-nested PCR,L,tissue,NA,indonesia,gorontalo,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,celebensis,NA,NA,NA,lung,2,0,,single,cross-sectional,PCR,hemi-nested PCR,L,tissue,NA,indonesia,gorontalo,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,celebensis,NA,NA,NA,oral,4,0,,single,cross-sectional,PCR,hemi-nested PCR,L,swab,NA,indonesia,gorontalo,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,celebensis,NA,NA,NA,rectum,2,0,,single,cross-sectional,PCR,hemi-nested PCR,L,swab,NA,indonesia,gorontalo,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,mackloti,NA,NA,NA,kidney,2,0,,single,cross-sectional,PCR,hemi-nested PCR,L,tissue,NA,indonesia,lombok,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,mackloti,NA,NA,NA,liver,2,0,,single,cross-sectional,PCR,hemi-nested PCR,L,tissue,NA,indonesia,lombok,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,mackloti,NA,NA,NA,lung,2,0,,single,cross-sectional,PCR,hemi-nested PCR,L,tissue,NA,indonesia,lombok,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,mackloti,NA,NA,NA,oral,2,0,,single,cross-sectional,PCR,hemi-nested PCR,L,swab,NA,indonesia,lombok,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,mackloti,NA,NA,NA,rectum,2,0,,single,cross-sectional,PCR,hemi-nested PCR,L,swab,NA,indonesia,lombok,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,pteropodinae,acerodon,mackloti,NA,NA,NA,small intestine,2,0,,single,cross-sectional,PCR,hemi-nested PCR,L,tissue,NA,indonesia,lombok,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,cynopterinae,chironax,melanocephalus,NA,NA,NA,liver,1,0,,single,cross-sectional,PCR,hemi-nested PCR,L,tissue,NA,indonesia,central sulawesi,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,cynopterinae,cynopterus,sp.,NA,NA,NA,liver,4,0,,single,cross-sectional,PCR,hemi-nested PCR,L,tissue,NA,indonesia,central sulawesi,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,cynopterinae,cynopterus,sp.,NA,NA,NA,rectum,2,0,,single,cross-sectional,PCR,hemi-nested PCR,L,swab,NA,indonesia,central sulawesi,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,NA,dobsonia,cf. peronii,NA,NA,NA,oral,1,0,,single,cross-sectional,PCR,hemi-nested PCR,L,swab,NA,indonesia,lombok,NA,,,NA,NA,2012,NA,2014,NA,NA,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",viruses,2021,NA,dobsonia,cf. peronii,NA,NA,NA,rectum,1,0,,single,cross-sectional,PCR,hemi-nested PCR,L,swab,NA,indonesia,lombok,NA,,,NA,NA,2012,NA,2014,NA,NA,
